id,question_type,exact_match,bleurt,bert_score_f1,rouge_1_fmeasure,overall_score
623,선택형,0.0,16.80397727272727,72.30619788169861,21.874999999999996,35.484015849503606
624,교정형,0.0,13.046153846153844,68.99057626724243,15.999999999999998,31.703624770457925
625,선택형,0.0,23.82706951608941,79.6507716178894,28.985507246376812,41.59675802990659
626,교정형,0.0,12.5,72.13466763496399,14.492753623188406,32.194597440353334
627,선택형,0.0,16.35327635327635,75.65670013427734,17.948717948717945,35.2148877820398
628,교정형,0.0,14.660617059891107,74.31820631027222,14.73684210526316,33.36835950442105
629,선택형,0.0,38.867924528301884,80.05439043045044,41.509433962264154,48.377527216695384
630,선택형,0.0,49.590643274853804,83.413165807724,50.793650793650805,54.41098230170925
631,교정형,0.0,11.86597170513775,69.45849061012268,14.117647058823529,31.031543939901837
632,선택형,0.0,28.28571428571428,76.00142359733582,32.14285714285714,42.093355401924676
633,선택형,0.0,26.368159203980095,80.94406723976135,29.850746268656714,42.73340860854333
634,선택형,0.0,21.56429518338489,74.63241815567017,25.806451612903224,38.38824869650842
635,선택형,0.0,21.935483870967744,77.41498351097107,25.80645161290323,39.41782487400116
636,선택형,100.0,42.65142857142858,86.90282106399536,48.00000000000001,68.61370165811266
637,선택형,0.0,26.471059804393132,76.4401912689209,32.09876543209876,41.959293816015844
638,선택형,0.0,38.4375,78.97304892539978,40.625,47.62494212388992
639,선택형,0.0,25.422222222222224,73.13941717147827,26.66666666666667,38.74546267668406
640,교정형,0.0,21.25704809286898,72.03090786933899,25.373134328358205,37.27997198312436
641,교정형,0.0,16.36634400595681,72.39257097244263,17.72151898734177,33.994883086818064
642,교정형,0.0,11.55830753353973,68.1897759437561,14.035087719298245,30.512448412099978
643,선택형,100.0,35.028067361668,82.68526792526245,41.37931034482759,63.67681249878171
644,교정형,0.0,24.86338797814208,76.08488202095032,25.490196078431378,39.280785531504904
645,선택형,0.0,26.684210526315788,77.44388580322266,31.57894736842105,42.160623189022665
646,선택형,100.0,19.072104018912526,73.19176197052002,19.444444444444446,50.283487848074444
647,선택형,0.0,16.281690140845072,72.91041612625122,20.0,34.960899165314686
648,선택형,0.0,15.386176284083703,75.85374116897583,18.947368421052634,35.48831479912252
649,선택형,0.0,28.561329091551784,74.21945333480835,28.985507246376812,40.40593556714757
650,교정형,0.0,11.941964285714285,72.51387238502502,15.625,32.639899977615904
651,선택형,100.0,23.685344827586206,76.18086338043213,24.137931034482758,53.66437976935814
652,교정형,0.0,0.0,64.63063359260559,0.0,22.620721757411957
653,교정형,0.0,19.184466019417474,70.75022459030151,25.24271844660194,36.47519996582883
654,교정형,0.0,11.814109742441206,73.51416349411011,13.157894736842103,32.10733684219945
655,교정형,0.0,16.631578947368418,74.49918389320374,21.052631578947366,35.937872257358144
656,선택형,100.0,23.67968558093834,77.94371247291565,28.985507246376805,55.97717973889311
657,교정형,0.0,22.275185936443545,73.94821643829346,25.287356321839084,38.073728356512916
658,선택형,0.0,9.238095238095239,72.12333679199219,10.666666666666668,30.362215496244886
659,선택형,100.0,15.490909090909092,69.90249156951904,15.584415584415584,47.24405386751348
660,선택형,0.0,24.7437641723356,75.57288408279419,25.396825396825395,39.050962943717195
661,선택형,0.0,33.571676501214846,79.90802526473999,35.82089552238805,45.54087375067704
662,선택형,0.0,23.937111038322957,75.65836906433105,25.352112676056336,38.94423526488403
663,교정형,0.0,23.002798880447823,78.15156579017639,26.82926829268293,40.19371176106794
664,교정형,0.0,31.789473684210524,77.02673077583313,40.0,45.727776824173176
665,선택형,0.0,15.4672395273899,68.44540238380432,16.3265306122449,31.990262477725715
666,선택형,0.0,41.88235294117647,77.64235734939575,47.05882352941177,49.9277662487591
667,선택형,0.0,29.652173913043477,75.86627006530762,33.84615384615385,42.84717445596803
668,선택형,100.0,38.075949367088604,80.24387955665588,40.50632911392405,62.97396543976627
669,선택형,0.0,15.512820512820516,70.77450752258301,16.666666666666668,32.93133404316046
670,선택형,100.0,25.15243902439025,72.65800833702087,29.268292682926834,54.44707121064023
671,교정형,0.0,31.493653277690836,79.17932271957397,39.50617283950618,46.26397143733168
672,교정형,0.0,14.21487603305785,71.60905599594116,14.87603305785124,32.40201257378602
673,선택형,0.0,11.705069124423964,72.55730628967285,12.903225806451616,31.666946602307156
674,교정형,100.0,7.4506578947368425,72.4399983882904,9.375000000000002,44.75284812011217
675,선택형,0.0,23.972835314091682,77.74360775947571,25.80645161290323,39.83844607744638
676,교정형,0.0,44.92610837438423,85.41721701622009,48.979591836734684,53.77779935469181
677,교정형,100.0,25.71428571428571,78.83252501487732,30.508474576271187,57.12649271404483
678,교정형,0.0,21.91076250482191,72.00905084609985,23.762376237623762,36.806613855026555
679,선택형,100.0,16.850861556743908,72.93737530708313,20.2020202020202,50.12641766169776
680,선택형,0.0,15.328282828282827,71.17144465446472,16.16161616161616,32.86581370987073
681,선택형,0.0,18.350824587706146,71.11133933067322,19.565217391304348,34.48941854084807
682,선택형,0.0,38.81000676132522,78.44372987747192,39.21568627450981,47.002296667392386
683,교정형,100.0,61.057574520212334,82.07484483718872,61.29032258064516,74.33644477427372
684,선택형,0.0,20.688729874776385,75.01733899116516,20.930232558139537,36.6849595234731
685,선택형,100.0,22.35045742434905,73.87818694114685,27.586206896551722,53.86510645684686
686,교정형,0.0,20.22827041264266,72.16075658798218,23.88059701492537,36.64871432291404
687,선택형,100.0,30.94373865698729,77.97108888626099,34.48275862068965,59.00040742598082
688,선택형,100.0,100.0,100.0,100.0,100.0
689,교정형,0.0,21.588999236058058,74.6560275554657,23.376623376623378,37.549777711639884
690,교정형,0.0,16.309639727361247,71.96118235588074,19.230769230769234,34.36362901443168
691,교정형,100.0,17.594834543987087,69.15168166160583,19.04761904761905,48.50898042982678
692,선택형,100.0,43.574879227053145,76.78377032279968,44.44444444444445,63.966107052593415
693,교정형,0.0,12.670807453416149,73.00010919570923,15.584415584415586,32.90520479105611
694,교정형,0.0,25.85227272727273,80.29500246047974,31.818181818181824,43.11745540662245
695,교정형,0.0,16.30402384500745,73.5510766506195,18.181818181818183,34.55211676810431
696,교정형,0.0,10.645833333333332,70.49902677536011,13.333333333333334,30.938201038042706
697,선택형,0.0,31.520715630885114,76.20786428451538,36.11111111111111,44.03974873310204
698,선택형,0.0,34.105653382761815,76.37894749641418,38.554216867469876,45.34245553477369
